,word,freq
1383,影帝,137
1451,太好了,137
2484,从头到尾,137
3465,成人,137
3734,有个,137
6890,最深,137
10714,凶手,137
952,毁灭,136
1045,姑娘,136
1795,民族,136
2238,挣扎,136
2348,动容,136
4136,阿甘,136
5952,制造,136
7897,描述,136
8413,完后,136
197,开场,135
212,内核,135
620,种种,135
1078,文明,135
1429,这句,135
1625,脆弱,135
2850,看不到,135
2982,人格,135
3973,学校,135
4292,发挥,135
7134,内涵,135
87,世纪,134
409,大学,134
425,用心,134
689,杰克,134
1056,旁白,134
1172,只会,134
2319,犹太人,134
4161,告别,134
6835,爷爷,134
6958,往事,134
9888,妹妹,134
2047,奇幻,133
3697,台湾,133
5570,天堂,133
5687,承受,133
7531,续集,133
15308,某种,133
839,莫名其妙,132
1436,二刷,132
1843,过瘾,132
2092,拍得,132
2205,反派,132
2992,沉默,132
3413,好片,132
565,线索,131
1204,一丝,131
1213,不太,131
1243,片儿,131
2444,作者,131
3184,原本,131
3243,戏份,131
6275,纠结,131
10299,同情,131
828,一刻,130
1849,打斗,130
2286,爱情故事,130
3327,玩具,130
4165,感叹,130
4513,仅仅,130
5460,把握,130
5953,解决,130
9792,当初,130
291,三部,129
309,自杀,129
543,学习,129
566,情况,129
701,响起,129
901,伤感,129
2500,责任,129
2615,目的,129
5208,罪恶,129
6395,激情,129
276,一贯,128
287,初恋,128
2869,集体,128
5099,描写,128
5194,唏嘘,128
5423,差点,128
5754,观感,128
8275,遇见,128
9865,世界观,128
949,难受,127
1740,心疼,127
2586,法国,127
3625,国产,127
4592,体制,127
7573,话剧,127
11377,我要,127
751,一個,126
1419,剧透,126
2649,意味,126
2995,公路,126
3525,轮回,126
4991,光明,126
232,恐怖片,125
589,重点,125
2368,大陆,125
2939,德昌,125
4373,感触,125
5084,布里克,125
7584,抛弃,125
81,无厘头,124
1488,意大利,124
3212,原谅,124
4348,友谊,124
5031,一张,124
6511,融合,124
3480,一份,123
4347,丝毫,123
4604,陪伴,123
5013,歌舞,123
5642,电脑,123
171,特写,122
295,形容,122
986,魔戒,122
1083,半小时,122
2986,第一个,122
3695,弟弟,122
4510,遗忘,122
10061,新闻,122
415,微笑,121
3744,反正,121
3926,付出,121
6040,智商,121
380,老头,120
585,升华,120
836,一代,120
2890,小朋友,120
3173,大战,120
5895,尴尬,120
6294,区别,120
9166,执着,120
12031,略显,120
880,彩蛋,119
1342,画风,119
2091,主旋律,119
2554,教科书,119
2832,回去,119
4110,巧合,119
4144,偏见,119
4682,光影,119
5245,带给,119
1710,冷漠,118
2251,杀死,118
2342,最为,118
3071,动漫,118
3376,灾难,118
4265,真挚,118
4522,无力,118
5435,心酸,118
6560,淋漓尽致,118
8246,地位,118
348,试图,117
2220,符合,117
2556,构图,117
3032,小镇,117
3755,干净,117
4517,媒体,117
4821,说教,117
4883,核心,117
5170,气息,117
5443,蝙蝠侠,117
30,权力,116
325,总有,116
1013,认同,116
1148,大卫,116
1608,描绘,116
1639,色调,116
2606,泪流满面,116
3716,追逐,116
3934,前半部,116
5227,打开,116
5228,笑点,116
7481,主人,116
245,激动,115
300,长得,115
1373,走出,115
1827,象征,115
3502,西方,115
6103,世间,115
544,乐观,114
678,见到,114
1446,最初,114
2141,落泪,114
2264,实际上,114
2410,還是,114
2621,结婚,114
2943,创作,114
3379,迪士尼,114
4313,路上,114
712,李子,113
2234,政府,113
